cell_id,SCT_snn_res.0.3,SCT_snn_res.0.5,SCT_snn_res.0.7
c_1_51_1029,4,4,4
c_1_51_1090,5,6,5
c_1_51_1137,8,15,19
c_1_51_1144,4,4,4
c_1_51_1183,2,5,6
c_1_51_1524,2,2,1
c_1_51_1653,2,5,13
c_1_51_1843,1,3,7
c_1_51_2147,2,5,6
c_1_51_2421,1,5,7
c_1_51_2586,5,6,5
c_1_51_2588,1,3,7
c_1_51_38,7,8,9
c_1_51_690,6,7,8
c_1_51_767,2,2,13
c_1_51_85,1,5,11
c_1_51_903,4,4,10
c_1_51_936,2,2,1
c_1_51_954,5,9,5
c_1_52_1125,2,5,6
c_1_52_1192,3,1,2
c_1_52_1247,2,5,6
c_1_52_1304,5,6,5
c_1_52_1341,2,5,6
c_1_52_1411,4,4,11
c_1_52_1733,5,6,5
c_1_52_1805,2,5,6
c_1_52_1963,5,9,6
c_1_52_2342,5,6,5
c_1_52_2437,5,6,5
c_1_52_2455,4,4,4
c_1_52_2495,5,6,5
c_1_52_2514,5,6,5
c_1_52_254,2,5,6
c_1_52_266,5,9,12
c_1_52_349,2,5,6
c_1_52_662,5,6,5
c_1_52_832,5,6,5
c_1_53_1584,5,6,5
c_1_53_1609,2,5,6
c_1_53_1626,5,6,5
c_1_53_1715,2,5,1
c_1_53_1824,5,6,5
c_1_53_2116,1,3,7
c_1_53_2236,4,4,4
c_1_53_2423,2,2,1
c_1_53_2434,5,9,12
c_1_53_2662,9,13,16
c_1_53_2690,1,3,7
c_1_53_2748,6,7,8
c_1_53_2862,4,5,13
c_1_53_384,5,6,5
c_1_53_4,5,5,6
c_1_53_425,5,6,5
c_1_53_518,5,6,5
c_1_53_821,5,6,5
c_1_54_1349,2,2,1
c_1_54_141,5,9,5
c_1_54_1529,5,9,12
c_1_54_1729,3,1,2
c_1_54_1812,1,3,3
c_1_54_2039,5,6,5
c_1_54_2075,4,4,11
c_1_54_2166,2,2,1
c_1_54_2213,2,5,6
c_1_54_224,3,1,2
c_1_54_2507,6,7,8
c_1_54_2542,1,3,7
c_1_54_260,2,5,6
c_1_54_317,4,4,10
c_1_54_535,1,3,3
c_1_55_1137,3,1,2
c_1_55_1255,2,5,6
c_1_55_1530,3,1,11
c_1_55_1566,2,2,1
c_1_55_1758,1,5,7
c_1_55_1938,1,3,3
c_1_55_208,1,5,7
c_1_55_2384,5,6,5
c_1_55_2524,5,9,20
c_1_55_2529,1,3,7
c_1_55_2592,1,3,7
c_1_55_2676,1,3,3
c_1_55_2808,3,1,2
c_1_55_293,2,5,6
c_1_55_3,4,4,4
c_1_55_710,4,4,4
c_1_55_787,5,5,6
c_1_55_942,2,2,1
c_1_55_974,2,2,13
c_1_56_1,5,9,12
c_1_56_1095,5,9,6
c_1_56_1215,5,6,5
c_1_56_125,5,6,5
c_1_56_1979,1,5,7
c_1_56_2007,4,4,4
c_1_56_2036,2,2,1
c_1_56_212,5,5,6
c_1_56_2174,5,9,12
c_1_56_2299,1,1,7
c_1_56_2300,4,4,4
c_1_56_2590,5,6,5
c_1_56_2662,5,6,5
c_1_56_2681,8,10,14
c_1_56_2795,2,5,6
c_1_56_38,1,5,6
c_1_56_427,1,3,6
c_1_56_535,1,3,3
c_1_56_857,5,6,5
c_1_56_881,1,5,7
c_1_56_950,5,6,5
c_1_57_1234,1,1,2
c_1_57_1590,6,7,8
c_1_57_1870,1,1,7
c_1_57_1875,3,1,2
c_1_57_2048,3,5,2
c_1_57_2089,1,3,3
c_1_57_2133,2,5,6
c_1_57_2188,2,2,1
c_1_57_2228,2,5,6
c_1_57_2433,5,9,5
c_1_57_2548,10,12,15
c_1_57_2568,1,5,6
c_1_57_262,1,5,6
c_1_57_264,1,5,6
c_1_57_2691,2,5,6
c_1_57_447,2,2,1
c_1_57_641,1,5,6
c_1_57_651,3,1,2
c_1_57_728,2,5,6
c_1_57_974,5,6,5
c_1_58_1193,5,9,4
c_1_58_1318,1,4,4
c_1_58_1443,3,1,2
c_1_58_15,2,5,6
c_1_58_152,2,2,1
c_1_58_1975,1,5,6
c_1_58_201,4,11,10
c_1_58_22,2,5,6
c_1_58_2293,5,6,5
c_1_58_2773,2,2,1
c_1_58_2875,2,5,6
c_1_58_33,5,9,5
c_1_58_388,3,1,2
c_1_58_456,1,1,3
c_1_58_543,2,5,6
c_1_58_589,2,5,6
c_1_58_607,2,5,6
c_1_58_846,1,3,3
c_1_59_1104,3,1,6
c_1_59_1278,5,9,12
c_1_59_1476,3,1,2
c_1_59_1517,4,4,4
c_1_59_2169,5,6,5
c_1_59_2273,3,1,2
c_1_59_2466,4,4,4
c_1_59_2558,4,11,10
c_1_59_2707,5,6,5
c_1_59_483,3,1,2
c_1_59_525,2,5,6
c_1_59_610,1,1,7
c_1_59_661,2,15,19
c_1_60_1014,2,5,13
c_1_60_1024,2,2,1
c_1_60_1056,2,5,6
c_1_60_127,2,5,6
c_1_60_1404,5,9,5
c_1_60_1447,3,1,2
c_1_60_1665,2,2,1
c_1_60_204,7,8,9
c_1_60_2234,2,2,1
c_1_60_2238,4,4,4
c_1_60_2369,9,14,23
c_1_60_245,2,2,1
c_1_60_247,1,3,7
c_1_60_251,1,3,3
c_1_60_330,2,5,6
c_1_60_332,4,4,4
c_1_60_441,1,6,5
c_1_60_469,1,3,3
c_1_60_490,1,3,7
c_1_60_533,2,5,6
c_1_60_635,2,5,6
c_1_60_651,2,5,6
c_1_60_668,2,5,6
c_1_60_670,1,3,3
c_1_60_704,2,5,6
c_1_60_817,1,5,6
c_1_60_828,5,6,5
c_1_60_833,5,6,5
